Symbols,Mean,Sigma
AAPL,0.0009709301039919817,0.0002667600547128064
AMD,0.0011536231307909834,0.0013345990451183393
AMZN,0.0013075232235289426,0.0003954920305217608
BA,0.0009845252857843523,0.00023999882293290094
BABA,0.0006556098826742576,0.00041387509917730056
BAC,0.0005020526534452167,0.0004325606335029437
C,0.0005097229009120959,0.0003905534433103933
CSCO,0.000568754162357109,0.0002492090142835745
DIS,0.000757770825370525,0.0001750967713674133
F,0.0002768876899873087,0.0003094019965094217
FB,0.001129663205134283,0.0005435518427639257
GE,0.00011164094303050784,0.00025889781454377185
GOOG,0.0006464245692569583,0.00023945757649106205
HD,0.0009927194823319539,0.00015647011657107666
IBM,0.00020617508703559781,0.00015197642187535682
INTC,0.0005836728329894692,0.00023957756682137097
JNJ,0.0004911598338491948,8.730052934510365e-05
JPM,0.0006197457401441812,0.0002556923034377643
KO,0.0004427032046564739,8.659953200864074e-05
MCD,0.000669057107159029,9.6215724145639e-05
MSFT,0.0008131335484545401,0.00020957775421339762
NFLX,0.002151708863041774,0.0011132096561895005
ORCL,0.00048255373169939003,0.0002163965516584609
PFE,0.0005530447400430296,0.00013192859372107462
PG,0.0004186798414624274,8.52918804486931e-05
T,0.00032502375793684346,0.00011089626096083603
TSLA,0.0014961770067667378,0.0010606899750274848
VZ,0.0005076828956131789,0.00011361151221838706
WMT,0.00045388577142364616,0.00012005824861344229
XOM,0.00022688778361691287,0.0001360166590250164
